trade_deal,market,pair,entry_date,release_date,risk_percent,tick_size,entry_point,stop_loss,take_profit_one,take_profit_two,take_profit_three,take_profit_one_percent,take_profit_two_percent,take_profit_three_percent,trade_setup,trade_setup_group,timeframe,type,session,avg_rr,profit_percent,result,status,notion_text,screenshot,entry_screenshot_1,entry_screenshot_2,entry_screenshot_3,entry_description_1,entry_description_2,entry_description_3,exit_screenshot_1,exit_screenshot_2,exit_screenshot_3,exit_description_1,exit_description_2,exit_description_3,trend_tag
USDJPY_20240103_160000,Forex,USD/JPY,2024-01-03 16:00:00,2024-01-05 16:00:00,1.0,0.01,140.0,138.0,142.0,143.0,0,50,50,0,Pullback,Swing,D1,Long,America,2.0,2.0,Win,Закрытая,,,C:\TraderBook\data\screenshots\screenshots_entry\USDJPY_20240103_160000_entry_1.png,,,,Entry 1 description,,,,Exit 1 description,,,Баланс/Флет,
EURUSD_20240104_230000,Forex,EUR/USD,2024-01-04 23:00:00,,1.0,0.0001,1.09,1.08,1.1,0.0,0,100,0,0,Breakout,Scalping,M15,Long,America,0.0,0.0,Breakeven,Активная,,,,,,,Entry 1 description,,,,,Без тега,,,
GBPUSD_20250101_050000,Forex,GBP/USD,2025-01-01 05:00:00,2025-01-01 05:15:00,1.0,0.0001,1.3,1.29,1.31,0.0,0,100,0,0,Reversal,Scalping,M1,Long,Asia,1.0,1.0,Win,Закрытая,,,C:\TraderBook\data\screenshots\screenshots_entry\GBPUSD_20250101_050000_entry_1.png,,,,Entry 1 description,,,,Exit 1 description,,,Трендовая,
USDJPY_20250102_110000,Forex,USD/JPY,2025-01-02 11:00:00,2025-01-02 15:00:00,1.5,0.01,145.0,147.0,143.0,0.0,0,100,0,0,Pullback,Intraday,H4,Short,Europe,-1.33,-2.0,Loss,Закрытая,,,C:\TraderBook\data\screenshots\screenshots_entry\USDJPY_20250102_110000_entry_1.png,,,,Entry 1 description,,,,Exit 1 description,,,Контртрендовая,
EURUSD_20250103_180000,Forex,EUR/USD,2025-01-03 18:00:00,,1.0,0.0001,1.08,1.07,1.09,0.0,0,100,0,0,Breakout,Swing,D1,Long,America,0.0,0.0,Breakeven,Ожидание,,,,,,,Entry 1 description,,,,,Баланс/Флет,,,
GBPUSD_20250104_040000,Forex,GBP/USD,2025-01-04 04:00:00,2025-01-04 04:45:00,1.0,0.0001,1.31,1.3,1.32,0.0,0,100,0,0,Reversal,Scalping,M30,Long,Asia,1.0,1.0,Win,Закрытая,,,C:\TraderBook\data\screenshots\screenshots_entry\GBPUSD_20250104_040000_entry_1.png,,,,Entry 1 description,,,,Exit 1 description,,,Без тега,
USDJPY_20250105_120000,Forex,USD/JPY,2025-01-05 12:00:00,2025-01-05 13:00:00,1.0,0.01,150.0,152.0,148.0,0.0,0,100,0,0,Pullback,Intraday,H1,Short,Europe,-2.0,-2.0,Loss,Закрытая,,,C:\TraderBook\data\screenshots\screenshots_entry\USDJPY_20250105_120000_entry_1.png,,,,Entry 1 description,,,,Exit 1 description,,,Трендовая,
EURUSD_20250106_210000,Forex,EUR/USD,2025-01-06 21:00:00,2025-01-07 21:00:00,1.5,0.0001,1.07,1.06,1.08,1.09,0,50,50,0,Breakout,Swing,D1,Long,America,1.33,2.0,Win,Закрытая,,,C:\TraderBook\data\screenshots\screenshots_entry\EURUSD_20250106_210000_entry_1.png,,,,Entry 1 description,,,,Exit 1 description,,,Контртрендовая,
GBPUSD_20250107_060000,Forex,GBP/USD,2025-01-07 06:00:00,,1.0,0.0001,1.32,1.31,1.33,0.0,0,100,0,0,Reversal,Scalping,M5,Long,Asia,0.0,0.0,Breakeven,Активная,,,,,,,Entry 1 description,,,,,Баланс/Флет,,,
USDJPY_20250108_140000,Forex,USD/JPY,2025-01-08 14:00:00,2025-01-08 15:00:00,1.0,0.01,155.0,153.0,157.0,0.0,0,100,0,0,Pullback,Intraday,H1,Long,Europe,2.0,2.0,Win,Закрытая,,,C:\TraderBook\data\screenshots\screenshots_entry\USDJPY_20250108_140000_entry_1.png,,,,Entry 1 description,,,,Exit 1 description,,,Без тега,
